Year,Date,IsFullMoon
2010,1/30/2010,TRUE
2010,2/28/2010,TRUE
2010,3/30/2010,TRUE
2010,4/28/2010,TRUE
2010,5/28/2010,TRUE
2010,6/26/2010,TRUE
2010,7/26/2010,TRUE
2010,8/24/2010,TRUE
2010,9/23/2010,TRUE
2010,10/23/2010,TRUE
2010,11/21/2010,TRUE
2010,12/21/2010,TRUE
2011,1/19/2011,TRUE
2011,2/18/2011,TRUE
2011,3/19/2011,TRUE
2011,4/18/2011,TRUE
2011,5/17/2011,TRUE
2011,6/15/2011,TRUE
2011,7/15/2011,TRUE
2011,8/13/2011,TRUE
2011,9/12/2011,TRUE
2011,10/12/2011,TRUE
2011,11/10/2011,TRUE
2011,12/10/2011,TRUE
2012,1/9/2012,TRUE
2012,2/7/2012,TRUE
2012,3/8/2012,TRUE
2012,4/6/2012,TRUE
2012,5/6/2012,TRUE
2012,6/4/2012,TRUE
2012,7/3/2012,TRUE
2012,8/2/2012,TRUE
2012,8/31/2012,TRUE
2012,9/30/2012,TRUE
2012,10/29/2012,TRUE
2012,11/28/2012,TRUE
2012,12/28/2012,TRUE
2013,1/27/2013,TRUE
2013,2/25/2013,TRUE
2013,3/27/2013,TRUE
2013,4/25/2013,TRUE
2013,5/25/2013,TRUE
2013,6/23/2013,TRUE
2013,7/22/2013,TRUE
2013,8/21/2013,TRUE
2013,9/19/2013,TRUE
2013,10/19/2013,TRUE
2013,11/17/2013,TRUE
2013,12/17/2013,TRUE
2014,1/16/2014,TRUE
2014,2/15/2014,TRUE
2014,3/16/2014,TRUE
2014,4/15/2014,TRUE
2014,5/14/2014,TRUE
2014,6/13/2014,TRUE
2014,7/12/2014,TRUE
2014,8/10/2014,TRUE
2014,9/9/2014,TRUE
2014,10/8/2014,TRUE
2014,11/6/2014,TRUE
2014,12/6/2014,TRUE
2015,1/5/2015,TRUE
2015,2/4/2015,TRUE
2015,3/5/2015,TRUE
2015,4/4/2015,TRUE
2015,5/4/2015,TRUE
2015,6/2/2015,TRUE
2015,7/2/2015,TRUE
2015,7/31/2015,TRUE
2015,8/29/2015,TRUE
2015,9/28/2015,TRUE
2015,10/27/2015,TRUE
2015,11/25/2015,TRUE
2015,12/25/2015,TRUE
2016,1/24/2016,TRUE
2016,2/22/2016,TRUE
2016,3/23/2016,TRUE
2016,4/22/2016,TRUE
2016,5/21/2016,TRUE
2016,6/20/2016,TRUE
2016,7/20/2016,TRUE
2016,8/18/2016,TRUE
2016,9/16/2016,TRUE
2016,10/16/2016,TRUE
2016,11/14/2016,TRUE
2016,12/14/2016,TRUE
2017,1/12/2017,TRUE
2017,2/11/2017,TRUE
2017,3/12/2017,TRUE
2017,4/11/2017,TRUE
2017,5/10/2017,TRUE
2017,6/9/2017,TRUE
2017,7/9/2017,TRUE
2017,8/7/2017,TRUE
2017,9/6/2017,TRUE
2017,10/5/2017,TRUE
2017,11/4/2017,TRUE
2017,12/3/2017,TRUE
2018,1/2/2018,TRUE
2018,1/31/2018,TRUE
2018,3/2/2018,TRUE
2018,3/31/2018,TRUE
2018,4/30/2018,TRUE
2018,5/29/2018,TRUE
2018,6/28/2018,TRUE
2018,7/27/2018,TRUE
2018,8/26/2018,TRUE
2018,9/25/2018,TRUE
2018,10/24/2018,TRUE
2018,11/23/2018,TRUE
2018,12/22/2018,TRUE
2019,1/21/2019,TRUE
2019,2/19/2019,TRUE
2019,3/21/2019,TRUE
2019,4/19/2019,TRUE
2019,5/18/2019,TRUE
2019,6/17/2019,TRUE
2019,7/16/2019,TRUE
2019,8/15/2019,TRUE
2019,9/14/2019,TRUE
2019,10/13/2019,TRUE
2019,11/12/2019,TRUE
2019,12/12/2019,TRUE
2020,1/10/2020,TRUE
2020,2/9/2020,TRUE
2020,3/9/2020,TRUE
2020,4/8/2020,TRUE
2020,5/7/2020,TRUE
2020,6/5/2020,TRUE
2020,7/5/2020,TRUE
2020,8/3/2020,TRUE
2020,9/2/2020,TRUE
2020,10/1/2020,TRUE
2020,10/31/2020,TRUE
2020,11/30/2020,TRUE
2020,12/30/2020,TRUE
2021,1/28/2021,TRUE
2021,2/27/2021,TRUE
2021,3/28/2021,TRUE
2021,4/27/2021,TRUE
2021,5/26/2021,TRUE
2021,6/24/2021,TRUE
2021,7/24/2021,TRUE
2021,8/22/2021,TRUE
2021,9/21/2021,TRUE
2021,10/20/2021,TRUE
2021,11/19/2021,TRUE
2021,12/19/2021,TRUE
2022,1/18/2022,TRUE
2022,2/16/2022,TRUE
2022,3/18/2022,TRUE
2022,4/16/2022,TRUE
2022,5/16/2022,TRUE
2022,6/14/2022,TRUE
2022,7/13/2022,TRUE
2022,8/12/2022,TRUE
2022,9/10/2022,TRUE
2022,10/9/2022,TRUE
2022,11/8/2022,TRUE
2022,12/8/2022,TRUE
2023,1/7/2023,TRUE
2023,2/5/2023,TRUE
2023,3/7/2023,TRUE
2023,4/6/2023,TRUE
2023,5/5/2023,TRUE
2023,6/4/2023,TRUE
2023,7/3/2023,TRUE
2023,8/1/2023,TRUE
2023,8/31/2023,TRUE
2023,9/29/2023,TRUE
2023,10/28/2023,TRUE
2023,11/27/2023,TRUE
2023,12/27/2023,TRUE
