Holiday,isViolent,Month,Daily Average for Month
Martin Luther King Jr. Day,2.357142857,1,2.576344086
New Year's Day,10.14285714,1,2.576344086
New Year's Eve,3.357142857,1,2.576344086
Presidents' Day,2.642857143,2,2.102380952
Valentine's Day,1.571428571,2,2.102380952
St. Patrick's Day,1.714285714,3,2.152073733
Memorial Day,2.714285714,5,2.774193548
Independence Day,3.642857143,7,2.97235023
Labor Day,1.642857143,9,2.804761905
Columbus Day,2.928571429,10,3.002304147
Halloween,2.142857143,10,3.002304147
Thanksgiving Day,1.857142857,11,2.683333333
Veterans Day,2.428571429,11,2.683333333
Christmas Day,1.857142857,12,2.873271889
Christmas Eve,3,12,2.873271889
